life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_19_years,schooling
65,263,62,0.01,65,1154,19.1,6,8.16,65,0.1,584.25921,33736494,17.2,10.1
59.9,271,64,0.01,62,492,18.6,58,8.18,62,0.1,612.696514,327582,17.5,10
59.9,268,66,0.01,64,430,18.1,62,8.13,64,0.1,631.744976,31731688,17.7,9.9
59.5,272,69,0.01,67,2787,17.6,67,8.52,67,0.1,669.959,3696958,17.9,9.8
59.2,275,71,0.01,68,3013,17.2,68,7.87,68,0.1,63.537231,2978599,18.2,9.5
58.8,279,74,0.01,66,1989,16.7,66,9.2,66,0.1,553.32894,2883167,18.4,9.2
58.6,281,77,0.01,63,2861,16.2,63,9.42,63,0.1,445.8932979,284331,18.6,8.9
58.1,287,80,0.03,64,1599,15.7,64,8.33,64,0.1,373.3611163,2729431,18.8,8.7
57.5,295,82,0.02,63,1141,15.2,63,6.73,63,0.1,369.835796,26616792,19,8.4
57.3,295,84,0.03,64,1990,14.7,58,7.43,58,0.1,272.56377,2589345,19.2,8.1
57.3,291,85,0.02,66,1296,14.2,58,8.7,58,0.1,25.2941299,257798,19.3,7.9
57,293,87,0.02,67,466,13.8,5,8.79,5,0.1,219.1413528,24118979,19.5,6.8
56.7,295,87,0.01,65,798,13.4,41,8.82,41,0.1,198.7285436,2364851,19.7,6.5
56.2,3,88,0.01,64,2486,13,36,7.76,36,0.1,187.84595,21979923,19.9,6.2
55.3,316,88,0.01,63,8762,12.6,35,7.8,33,0.1,117.49698,2966463,2.1,5.9
54.8,321,88,0.01,62,6532,12.2,24,8.2,24,0.1,114.56,293756,2.3,5.5
77.8,74,0,4.6,99,0,58,99,6,99,0.1,3954.22783,28873,1.2,14.2
77.5,8,0,4.51,98,0,57.2,98,5.88,98,0.1,4575.763787,288914,1.2,14.2
77.2,84,0,4.76,99,0,56.5,99,5.66,99,0.1,4414.72314,289592,1.3,14.2
76.9,86,0,5.14,99,9,55.8,99,5.59,99,0.1,4247.61438,2941,1.3,14.2
76.6,88,0,5.37,99,28,55.1,99,5.71,99,0.1,4437.17868,295195,1.4,13.3
76.2,91,1,5.28,99,10,54.3,99,5.34,99,0.1,494.358832,291321,1.4,12.5
76.1,91,1,5.79,98,0,53.5,98,5.79,98,0.1,4114.136545,2927519,1.5,12.2
75.3,1,1,5.61,99,0,52.6,99,5.87,99,0.1,437.539647,2947314,1.6,12
75.9,9,1,5.58,98,22,51.7,99,6.1,98,0.1,363.13685,29717,1.6,11.6
74.2,99,1,5.31,98,68,5.8,97,5.86,97,0.1,35.1293,2992547,1.7,11.4
73.5,15,1,5.16,98,6,49.9,97,6.12,98,0.1,279.142931,311487,1.8,10.8
73,17,1,4.54,99,7,48.9,98,6.38,97,0.1,2416.588235,326939,1.8,10.9
72.8,18,1,4.29,97,8,47.9,97,6.27,97,0.1,189.681557,339616,1.9,10.7
73.3,15,1,3.73,96,16,46.9,98,6.3,98,0.1,1453.642777,3511,2,10.7
73.6,14,1,4.25,96,18,46,97,6,97,0.1,1326.97339,36173,2.1,10.6
72.6,11,1,3.66,96,662,45,97,6.26,97,0.1,1175.788981,38927,2.1,10.7
75.4,11,21,0.01,95,0,58.4,95,7.21,95,0.1,547.8517,39113313,6,14.4
75.3,112,21,0.53,95,25,57.2,95,7.12,95,0.1,5471.866766,38338562,5.9,14.4
75.1,113,21,0.66,95,18,56.1,95,6.14,95,0.1,5564.82566,37565847,5.9,14.4
74.9,116,21,0.56,95,112,55,95,5.29,95,0.1,5432.2523,36819558,5.9,14
74.7,119,21,0.45,95,103,53.9,95,5.12,95,0.1,4463.394675,36117637,5.9,13.6
74.4,123,20,0.5,94,107,52.8,94,5.36,95,0.1,3868.83123,3546576,6,13.1
74.1,126,20,0.46,91,217,51.8,92,4.2,93,0.1,495.254866,3486715,6,12.6
73.8,129,20,0.44,9,0,5.8,95,3.82,95,0.1,3935.183343,34376,6,12.3
73.4,132,20,0.36,8,944,49.8,95,3.36,95,0.1,3464.6179,33777915,6.1,12.3
72.9,136,19,0.5,83,2302,48.9,88,3.24,88,0.1,31.122378,33288437,6.1,12
72.3,14,19,0.45,81,3289,47.9,86,3.54,86,0.1,2598.9823,3283196,6.2,11.7
51.7,348,67,8.33,64,11699,22.7,68,3.31,64,2,479.31224,2692466,8.5,11.4
51.1,355,69,8.1,77,8523,22.1,67,4.26,77,2.3,484.616884,2599834,8.6,11.4
56,358,72,8.24,75,4458,21.5,75,3.3,75,2.6,4598.249988,259615,8.8,10.3
51,361,75,8.06,72,1449,21,73,3.38,71,2.5,4299.12889,24218565,8.9,9.4
49.6,365,78,7.8,77,1190,2.4,81,3.39,77,2.5,3529.53482,23369131,9.1,9
49.1,369,81,7.01,61,2807,19.8,63,4.37,6,2.5,3347.84485,22549547,9.3,8.5
48.7,371,84,7.07,69,265,19.3,65,3.84,69,2.6,3868.578883,2175942,9.5,8.1
48.2,375,87,6.35,73,1014,18.8,75,3.38,73,2.6,2878.837144,2997687,9.6,7.7
76.2,118,8,7.93,94,1,62.2,92,4.79,94,0.1,12245.25645,42981515,1,17.3
76,119,8,8.28,94,0,61.6,99,4.99,94,0.1,12976.63642,42539925,1,17.3
75.9,12,9,8.35,91,2,61,99,5.2,91,0.1,12969.7712,4296739,1,17.2
75.7,12,9,8.11,91,3,6.4,93,5.89,91,0.1,12726.9836,41656879,1,17.1
75.5,121,10,8.15,94,17,59.8,95,6.55,94,0.1,1276.265,41223889,1,16.8
75.6,126,10,8.33,94,3,59.2,97,7.63,94,0.1,8161.36966,479947,1,16.5
75.4,126,10,8.41,9,0,58.6,94,6.66,93,0.1,8953.359275,4382389,1,16.3
74.8,129,10,8.16,85,0,58,92,6.49,91,0.1,7193.61764,3997224,1.1,16.3
75.2,127,11,7.75,84,0,57.5,92,6.68,91,0.1,5878.76127,3955889,1.1,16.1
74.9,127,11,7.53,88,0,56.9,95,6.85,98,0.1,576.883829,39145488,1.1,16.3
74.7,13,11,7.63,81,0,56.3,91,6.84,98,0.1,4251.574348,38728696,1.1,16.3
74.1,137,11,7.62,73,0,55.7,95,8.22,96,0.1,333.4376,3839379,1.2,16.4
74.1,138,12,7.81,66,0,55.1,94,8.31,93,0.1,2579.193168,3788937,1.2,16.3
74.6,12,1,3.91,93,13,54.1,95,4.48,93,0.1,3994.712355,29622,2.1,12.7
74.4,123,1,3.79,95,10,53.3,96,4.55,95,0.1,3843.591213,289359,2.1,12.7
74.4,121,1,3.89,95,0,52.6,96,4.48,95,0.1,3684.8481,2881922,2,12.7
73.9,128,1,4.09,95,0,51.9,96,3.71,95,0.1,3526.978143,2875581,2,12.7
73.5,132,1,4.23,94,2,51.2,96,4.56,94,0.1,3218.381655,2877311,2,12.3
73.3,137,1,3.96,93,0,5.7,94,4.55,93,0.1,2993.832531,2888584,2,11.9
73.2,14,1,3.96,89,0,5.1,91,3.8,89,0.1,41.26997,29822,2,12.3
73.5,132,1,3.99,85,1,49.7,9,4.31,88,0.1,3138.8873,293356,2,11.7
72.9,141,1,4.01,78,137,49.2,87,4.58,87,0.1,2158.299,29585,2,11.2
73,137,1,4.25,91,2281,48.8,92,5.25,9,0.1,1643.758397,2981259,2,10.9
73,132,1,3.81,91,1783,48.4,93,5.5,91,0.1,1191.96192,3612,2,10.9
72.7,134,1,3.03,93,4,48.1,96,5.56,94,0.1,93.1661567,31786,2,10.8
72.6,134,1,2.86,91,40,47.8,96,5.4,94,0.1,783.261699,333897,2.1,10.8
72.6,141,1,2.86,69,69,47.4,97,5.94,94,0.1,694.435119,35655,2.1,11.1
72,142,1,2.9,55,15,47.1,96,6.25,93,0.1,622.7427477,369588,2.1,11.2
72.5,119,5,0.01,94,0,51.5,97,6.4,94,0.1,7891.299776,953579,2.8,12.2
72.2,121,5,2.14,93,164,5.6,96,5.54,93,0.1,7875.756953,941681,2.8,11.9
71.9,123,5,0.01,88,0,49.7,92,5.37,89,0.1,7496.335728,9295784,2.8,11.8
71.6,125,5,1.98,84,0,48.8,91,5.1,87,0.1,7189.691229,917382,2.8,11.7
71.1,13,5,1.98,8,0,48,85,5.33,81,0.1,5842.85784,954332,2.8,11.7
78,132,6,2.1,74,0,47.3,84,5.85,81,0.1,495.294791,8947243,2.8,11.6
73,141,6,1.18,68,5,46.6,85,4.37,81,0.1,5574.6382,87634,2.8,11.6
73,14,6,1.02,62,0,45.9,81,5.1,79,0.1,3851.437869,85813,2.8,11.6
69.2,154,6,0.85,52,222,45.3,8,6.17,78,0.1,2473.85776,848455,2.9,10.7
68.4,162,6,0.73,49,1238,44.7,79,7.86,75,0.1,1578.4239,839185,2.9,11.2
68.4,154,6,0.62,5,827,44.2,78,7.92,77,0.1,145.2163,8365,3,11
67.8,154,7,0.55,51,1978,43.6,79,6.56,77,0.1,883.6439965,82341,3,10.8
67.8,146,7,0.55,5,4353,43.1,8,4.47,76,0.1,763.73858,817195,3.1,10.6
71.4,132,98,0.01,97,289,17.7,97,2.82,97,0.1,184.56543,15945279,18.1,10
71,135,104,0.01,96,237,17,96,2.88,96,0.1,951.8894535,157571292,18.3,10
77,137,111,0.01,94,1986,16.4,94,3.8,94,0.1,856.342857,15572753,18.5,9.9
73,14,118,0.01,96,5625,15.8,96,3.16,96,0.1,835.789341,153911916,18.7,9.4
69.9,142,126,0.01,94,788,15.2,94,3.6,94,0.1,757.6717572,15214912,18.9,8.9
69.5,144,135,0.01,97,718,14.6,97,2.91,97,0.1,681.125368,1545478,19.1,8.4
69.1,147,144,0.01,96,2660,14,96,2.85,96,0.1,615.7775411,14885814,19.3,8.6
68.6,151,154,0.01,95,2924,13.5,96,2.8,94,0.1,541.651484,147139191,19.5,8.6
68.2,152,164,0.01,86,6192,13,95,2.8,94,0.1,494.51466,1453684,19.7,8.4
67.8,155,174,0.01,45,25934,12.5,94,2.68,93,0.1,484.155471,14343111,19.9,8.2
67.3,158,185,0.01,11,9743,12,88,2.62,99,0.1,46.7579167,14137489,2.1,8.1
66.8,161,196,0.01,5,4067,11.6,9,2.51,87,0.1,432.7388972,139191,2.3,7.9
72,199,0,13.94,97,64,61.7,97,5.69,97,0.1,8318.429294,9474511,1.9,15.7
71.7,23,0,14.66,98,16,61.1,98,6.7,98,0.1,7978.825443,9465997,2,15.7
71.9,194,0,16.35,97,10,6.5,98,5.1,98,0.1,694.243915,9464495,2,15.6
72,232,0,17.31,98,50,59.9,98,4.92,98,0.1,6519.71753,9473172,2,15.5
73,222,0,14.44,96,1,59.3,99,5.55,98,0.1,63.38877,949583,2,15.5
70,226,0,14.09,98,0,58.7,98,6.9,96,0.1,5176.172649,956765,2.1,15.4
70,224,1,14.67,98,0,58.2,98,5.95,97,0.1,6376.183153,9527985,2.1,15.1
69.8,226,1,14.22,91,1,57.7,9,6.44,95,0.1,4735.484827,956953,2.2,14.9
68.9,243,1,12.6,98,149,57.2,97,6.34,99,0.1,3848.215966,964924,2.2,14.6
68.1,252,1,11.01,99,1,56.7,98,6.89,99,0.1,3126.71767,9663915,2.3,14.4
68.2,247,1,12.05,99,2,56.2,99,6.59,99,0.1,2378.33927,973146,2.4,14.1
67.7,253,1,11.17,56,21,55.8,53,6.59,5,0.1,1819.525644,9796749,2.5,13.9
67.2,262,1,12.23,99,14,55.3,99,6.47,99,0.1,1479.383142,9865548,2.5,13.6
67.7,254,1,10.74,93,45,54.9,99,6.62,99,0.1,1244.373185,9928549,2.6,13.3
68,247,1,12.98,7,21,54.4,99,6.13,99,0.1,1276.28834,997961,2.7,13.1
70,177,0,6.58,95,0,5.1,95,5.79,95,0.2,4852.223666,351694,3.4,12.8
69.8,18,0,6.56,95,0,49.3,95,5.79,95,0.2,4688.538443,344181,3.4,12.9
69.4,189,0,6.66,98,0,48.5,98,5.45,98,0.1,4673.63848,33671,3.5,12.5
69.4,188,0,6.64,95,0,47.8,95,5.61,95,0.5,4516.24675,329192,3.5,12.4
69.5,186,0,6.76,96,0,47,96,5.85,96,0.2,4344.15177,32168,3.5,12.4
69.5,184,0,6.85,97,0,46.3,98,5.81,97,0.3,4258.788611,313929,3.5,12.7
69.6,181,0,7.22,94,0,45.7,94,5.9,94,0.1,447.22796,36165,3.5,12.8
69.6,181,0,7.24,96,0,45,97,4.76,96,0.6,4324.876427,29847,3.5,12.8
69.4,184,0,6.48,98,0,44.4,98,4.4,98,0.6,4187.3783,29747,3.6,12.3
69,191,0,6.25,96,0,43.8,96,4.45,96,0.8,3933.332215,283277,3.6,12.8
68.7,197,0,6.2,97,0,43.2,97,4.39,97,0.8,3831.53819,27689,3.6,12.5
68.4,21,0,5.67,96,0,42.6,95,4.53,96,1.5,3679.99523,26913,3.6,12.2
68.5,199,0,4.99,97,0,42,93,4.38,89,0.1,3556.561825,26226,3.7,11.9
68.2,21,0,4.9,96,0,41.4,96,4.5,96,0.4,3419.275719,254984,3.7,11.8
68.3,196,0,4.79,76,0,4.8,91,3.98,91,0.3,3364.423711,247315,3.8,11.7
59.7,252,25,0.01,78,786,25.2,74,4.59,78,1.1,943.686575,1286712,7.1,10.7
59.5,251,25,0.01,77,637,24.6,73,4.59,77,1.2,915.2674586,14451,7.2,10.3
59.3,251,25,0.01,8,288,24.1,8,4.86,8,1.3,837.9551,972916,7.4,10
59.1,251,25,1.4,75,426,23.5,77,5.37,75,1.4,825.9427854,94682,7.6,9.8
58.7,254,25,1.33,76,392,23,77,4.95,76,1.4,757.695974,9199259,7.8,9.5
58.4,259,25,1.16,79,1461,22.5,8,4.46,79,1.6,793.45243,894476,7.9,9.3
57.6,278,25,1.28,75,928,22,77,4.2,75,1.8,82.1513498,8696916,8.1,9.1
57.1,283,25,1.12,82,341,21.5,82,4.55,82,2,76.535419,8454791,8.3,8.9
56.8,284,25,1.19,74,176,21,76,4.75,74,2,625.8392,8216896,8.5,8.7
56.5,285,25,1.13,7,210,2.5,73,4.73,7,2.1,61.799977,7982225,8.7,8.5
56.1,285,25,1.15,75,262,2.1,74,4.56,72,2.1,583.493514,7754,8.9,8.1
55.8,285,25,1.35,73,217,19.7,75,4.63,73,2.1,519.2922847,752555,9.1,7.7
55.6,283,25,1.23,15,1588,19.2,76,4.27,75,2.1,418.6985763,7295394,9.3,7.3
69.4,216,0,0.01,99,0,23.6,98,3.57,99,0.5,2522.7968,776448,15.7,12.5
69.1,219,0,0.01,97,0,22.7,97,3.83,97,0.6,235.882889,764961,15.9,12.6
68.7,223,0,0.01,97,1,21.9,97,3.7,97,0.6,2422.816,752967,16.1,12.3
68.3,225,0,0.23,95,10,21.1,95,4.73,95,0.5,2458.45976,7451,16.3,11.9
67.9,228,1,0.28,91,21,2.3,92,5.17,91,0.5,2178.921383,727641,16.6,11.4
67.4,232,1,0.17,93,6,19.5,93,6.3,93,0.4,177.234497,714458,16.8,10.9
67,234,1,0.21,96,7,18.8,96,6.58,96,0.4,1795.18137,795,17.1,10.5
66.5,238,1,0.16,95,11,18,93,5.88,95,0.3,1741.142552,686958,17.3,10.1
65.8,245,1,0.29,95,2,17.4,96,5.27,95,0.3,1335.45696,672228,17.5,9.6
65,254,1,0.73,95,11,16.7,95,5.28,95,0.3,1247.61392,656639,17.8,9.2
64.2,263,1,0.96,89,3,16.1,9,4.41,89,0.3,197.45788,64282,18,8.8
63.3,273,1,0.52,95,0,15.5,96,4.9,95,0.2,997.7417141,623434,18.3,8.4
62.5,282,1,0.29,83,27,14.9,89,7.75,86,0.1,885.6382245,66399,18.6,8
61.7,29,1,0.14,89,756,14.4,88,5.91,88,0.1,87.9387673,5896,18.9,7.6
62,312,1,0.17,98,418,13.9,98,6.91,92,0.1,765.8632358,573416,19.2,7.3
77.2,89,0,4.03,89,3000,55.3,86,9.57,86,0.1,5193.94932,35662,2.4,14.2
77,9,0,4.12,91,0,54.7,87,9.46,89,0.1,535.86555,364999,2.4,14.2
76.8,92,0,4.61,92,22,54.2,87,9.94,92,0.1,4716.673325,36482,2.5,13.9
76.9,92,0,4.64,88,10,53.7,89,9.71,88,0.1,55.156834,3688865,2.6,13.4
76.4,94,0,4.54,89,45,53.1,9,9.58,89,0.1,4611.47298,372284,2.6,13.3
76.1,97,0,4.75,9,22,52.6,9,9.64,9,0.1,4697.89732,3746561,2.7,13.3
76,98,0,5.13,88,8,52.1,92,8.58,91,0.1,575.31664,3763599,2.8,13.1
75.4,16,0,5.16,94,166,51.5,95,8.37,95,0.1,418.292176,3774,2.8,12.9
75.7,1,0,4.82,9,17,51,91,8.28,87,0.1,344.321698,3779468,2.9,12.7
75,12,0,4.56,93,23,5.5,95,8.5,93,0.1,2968.41186,378153,2.9,12.5
75.5,99,0,4.25,36,28,49.9,87,9.4,84,0.1,265.642661,3781287,3,12.3
65.1,268,2,0.01,95,1,37.3,96,5.41,95,2.3,7497.762376,2168573,6.7,12.6
64.2,286,2,0.01,95,1,36.8,96,5.84,95,2.8,77.625783,212857,7,12.6
63.4,3,2,0.01,95,7,36.2,96,6.27,95,4.4,729.231453,289315,7.3,12.5
62.2,325,2,5.76,95,8,35.7,96,5.25,95,5.5,7645.21469,251339,7.7,12.4
61.1,349,2,5.99,95,853,35.2,96,5.64,95,6.2,6346.15624,214866,8,12.3
59.2,393,2,5.01,94,184,34.7,96,6.39,96,9,5185.729845,1979882,8.4,12.2
57.5,427,2,6.56,94,0,34.2,96,5.55,96,12.7,5623.379566,1946351,8.8,12.1
56.9,436,2,6.21,93,1,33.7,96,4.71,96,13.4,5714.47937,1914414,9.2,12.1
54.8,491,2,6.45,93,6,33.2,96,4.93,96,14.4,5374.554867,1884238,9.6,11.9
51.7,566,2,6.37,92,5,32.7,96,5.62,96,20.6,5351.253732,1855852,1,11.9
48.1,652,2,4.9,91,1,32.2,96,5.56,96,28.4,4896.583835,182933,1.5,11.8
46.4,693,2,5.51,9,59,31.6,96,4.65,96,31.9,4163.6596,184339,1.9,11.8
46,699,2,6.41,88,7,31.1,97,6.47,97,34.6,355.618382,1779953,11.4,11.9
46.7,679,2,5.48,87,1,3.5,97,5.73,97,37.2,3128.97793,1754935,11.8,11.8
47.8,647,2,5.37,86,2672,29.9,97,4.64,97,38.8,3349.68823,172834,12.3,11.7
74.8,144,44,7.32,96,876,55.3,96,8.32,93,0.1,1226.61731,24213133,2.7,15.2
74.7,146,46,7.24,96,220,54.5,96,8.48,97,0.1,12216.9446,2248632,2.8,14.2
74.5,148,49,7.55,96,2,53.6,96,8.26,95,0.1,12291.46685,256983,2.8,14.2
74.1,152,51,7.58,98,43,52.8,98,8.9,99,0.1,13167.47289,198686688,2.9,14
73.8,154,54,7.52,96,68,52,99,8.27,99,0.1,11224.1548,196796269,2.9,13.8
73.6,157,57,7.33,99,0,51.1,99,8.65,99,0.1,8553.3847,194895996,3,13.8
73.4,158,61,7.21,96,0,5.3,99,8.24,99,0.1,8787.61375,19297929,3,13.3
73.3,159,65,7.19,99,0,49.4,99,8.28,99,0.1,7313.557962,19126637,3.1,13.5
73,161,70,7.1,99,57,48.6,99,8.36,99,0.1,586.145975,18912412,3.1,13.8
72.7,163,75,6.97,98,6,47.8,99,8.27,99,0.1,477.182746,186917361,3.2,13.8
72,17,81,6.85,96,0,46.9,99,7.7,99,0.1,3623.47667,184738458,3.2,14
71.8,172,88,6.95,97,2,46.1,99,6.94,99,0.1,359.587582,182482149,3.3,14.8
71.4,176,95,7,92,1,45.3,99,7.13,99,0.1,2819.649531,1815121,3.3,14.6
71,179,103,7.13,91,1,44.5,99,7.19,98,0.1,3146.95177,1777567,3.4,14.3
75,183,111,7.26,94,36,43.7,99,7.3,98,0.1,3739.11936,175287587,3.4,14.1
59.3,268,39,0.01,91,343,18.8,91,4.96,91,0.6,75.1464113,17585977,8.2,7.7
59,27,40,4.64,88,375,18.2,89,5.91,88,0.7,699.452847,1772723,8.4,7.5
58.6,271,41,4.75,9,7362,17.7,9,5.33,9,0.8,673.8227,16571216,8.6,7.2
58.1,275,42,4.51,91,860,17.1,9,5.17,91,0.9,666.842783,168194,8.8,6.7
57.5,279,43,4.55,91,2511,16.6,9,7.17,91,1,575.4464527,1565217,9,6.3
56.9,283,44,4.55,92,54118,16.1,91,7.41,92,1.1,552.7455521,1514199,9.3,5.9
56.1,288,45,4.5,93,395,15.6,92,6.77,93,1.5,569.7612784,14689726,9.5,5.4
55.3,293,46,4.58,89,12,15.1,93,6.63,89,1.7,475.11122,1425221,9.8,4.9
54.3,32,47,4.73,76,125,14.6,94,6.58,86,2,422.6332374,13829177,1,4.7
59.1,297,22,0.01,95,0,18.2,95,7.54,95,0.7,312.7489794,989179,7.4,10.6
58.6,33,22,0.01,96,0,17.6,96,8.3,96,1,282.7555252,96186,7.4,10.5
58,312,22,0.01,96,49,17.1,96,8.21,96,1.2,265.285651,931971,7.5,10.3
57.4,321,22,4.16,96,129,16.6,95,8.58,96,1.5,26.479973,94358,7.6,9.9
56.8,33,23,4.16,96,495,16.1,94,8.82,96,1.9,231.1943256,876693,7.7,9.3
56.2,338,23,4.05,94,305,15.7,96,6.96,94,2.4,24.944652,848931,7.8,8.6
55.3,35,23,4.33,92,173,15.2,89,7.86,92,2.9,196.2472628,8212264,7.9,7.9
54.8,355,24,4.54,99,43,14.8,93,1.3,99,3.4,17.79995,7939573,8,7.2
54.1,361,24,4.5,92,784,14.5,88,11.49,92,3.8,165.8794176,7675338,8.1,5.9
53.4,369,24,5.54,87,0,14.1,82,9.84,87,4.3,15.57434,7423289,8.2,5.6
52.6,378,24,5.72,83,2,13.8,76,7.1,83,4.8,127.4296648,7182451,8.4,5.2
73,117,0,0.01,97,0,3.5,95,4.76,95,0.2,3529.61843,526437,6.8,13.5
72.8,12,0,0.01,94,0,29.7,93,4.29,93,0.2,3558.796314,5216,6.9,13.6
72.7,121,0,0.01,94,0,29,94,4.61,94,0.3,348.482762,513979,7.1,13.2
72.6,122,0,5.07,9,0,28.2,9,4.6,9,0.3,367.429453,5867,7.3,13.1
72.5,123,0,4.75,98,0,27.5,99,4.83,99,0.4,3312.825985,52384,7.4,12.7
72.4,124,0,4.45,98,0,26.8,99,4.24,99,0.4,3444.5566,496963,7.6,12.4
72.4,124,0,4.16,98,0,26.2,99,3.96,99,0.4,3638.95946,491723,7.8,12.2
72.3,126,0,5.28,96,0,25.5,98,4.3,98,0.6,3112.285712,486438,8.1,11.9
72.1,129,0,4.25,95,0,24.9,97,5.11,96,0.6,234.28992,48795,8.3,11.9
